on_stop_id,off_stop_id,count
142,3946,1
143,2122,1
143,7782,2
143,9526,2
143,704,2
143,7807,1
654,13737,1
689,7594,1
689,1528,1
704,5044,1
704,5061,1
704,6839,3
704,13193,2
704,2124,1
704,8194,2
772,5044,1
772,13193,1
772,2138,1
772,2124,1
772,820,1
772,704,1
792,6839,2
792,704,3
792,10658,1
792,820,3
792,2134,1
792,2105,3
792,8321,1
792,5061,1
792,13327,1
820,13327,1
820,8194,1
820,8321,1
838,7782,2
838,7807,3
838,4538,1
838,7765,2
838,7772,2
838,3908,2
838,2122,1
838,3932,2
845,1550,2
845,6411,1
845,1544,1
846,7807,3
846,7772,1
846,143,1
846,3947,1
847,7718,1
848,7807,1
848,654,1
853,7772,1
855,4538,3
859,654,1
1528,1537,1
1529,7772,1
1529,7782,1
1529,7719,1
1529,855,1
1530,7807,1
1530,7782,1
1530,6414,1
1530,6416,1
1531,1550,3
1531,1764,1
1532,7782,1
1532,654,1
1532,3116,1
1534,7772,2
1534,654,1
1534,7765,2
1534,6416,2
1534,7782,2
1534,7807,1
1537,1548,1
1538,7807,1
1538,6414,1
1538,6416,1
1539,1764,1
1539,13145,1
1539,1761,1
1539,1550,1
1540,1764,1
1540,1550,1
1540,1548,1
1541,6414,1
1541,3908,1
1541,1530,1
1541,7782,1
1541,7807,1
1541,3932,2
1541,13327,1
1544,1550,3
1544,1728,1
1545,7782,2
1545,13193,1
1545,7807,3
1545,6416,1
1545,7765,1
1545,6414,1
1545,654,1
1547,6412,1
1547,7719,1
1547,654,1
1547,7807,1
1547,7772,1
1547,838,1
1551,6421,1
1551,7772,1
1551,3912,1
1551,1530,1
1551,1545,2
1551,1532,5
1551,1541,1
1551,6420,1
1729,7719,3
1729,6416,1
1759,13145,1
1760,7807,2
1761,10307,1
1762,7772,1
1762,6421,1
1765,1760,3
1765,7772,1
1765,6414,1
1765,6412,1
1765,1545,1
1929,845,1
1929,6415,1
2000,7640,1
2000,7602,1
2000,7631,2
2001,2146,1
2002,7640,1
2002,7636,1
2003,2127,2
2009,7640,3
2009,13328,4
2009,13329,1
2009,7631,6
2009,4537,3
2009,13330,2
2009,7636,1
2009,689,1
2009,6413,1
2009,7602,2
2009,7594,1
2009,5060,1
2105,2134,1
2105,8321,1
2105,2110,2
2106,2110,1
2107,7602,2
2107,7631,1
2107,7640,2
2109,7631,1
2110,2119,2
2110,13737,5
2111,5063,1
2111,7594,1
2111,7602,1
2111,9709,1
2111,13329,1
2114,2146,1
2115,7640,1
2117,689,1
2117,7631,1
2117,7594,1
2117,1929,1
2117,13329,1
2119,8194,2
2119,8321,2
2119,10658,1
2119,2147,3
2119,2127,1
2121,7594,2
2121,7602,1
2121,7631,2
2121,2111,1
2121,6567,1
2122,2147,2
2122,8194,2
2122,2134,1
2123,7640,2
2123,7588,1
2123,13329,1
2123,13330,1
2124,2134,2
2126,7631,1
2126,7640,1
2127,2155,2
2127,2139,1
2127,2147,1
2127,2131,2
2128,13330,1
2128,2109,1
2128,2107,1
2128,7640,1
2128,3946,2
2129,7602,2
2129,3946,2
2129,4537,1
2129,5058,1
2131,2147,1
2132,7640,1
2132,7631,1
2132,2111,1
2132,2121,1
2132,2009,1
2133,5058,1
2133,7594,2
2133,7602,2
2133,13328,1
2133,2111,1
2133,142,1
2133,13330,1
2133,2129,1
2133,7631,1
2134,8194,3
2137,13328,2
2137,7631,1
2137,2132,1
2137,13330,1
2139,2147,1
2143,2128,2
2143,7640,1
2143,2111,1
2145,2121,2
2145,7602,1
2145,7631,1
2145,7636,2
2145,5063,2
2145,13329,1
2145,7640,1
2146,8194,1
2147,8194,1
2147,2158,2
2148,2121,2
2148,7640,2
2148,2009,1
2148,2132,1
2148,13328,1
2148,9709,2
2148,2126,1
2149,2133,1
2151,8321,1
2155,8194,1
2156,7640,1
3116,7807,1
3116,7782,1
3908,7782,1
3908,143,1
3908,7772,1
3908,4538,2
3908,7807,1
3908,2105,1
3909,3911,1
3909,7718,1
3909,6411,1
3909,858,1
3909,845,3
3909,3946,1
3911,1550,2
3912,7807,1
3912,3929,1
3912,7772,1
3916,8243,1
3917,9526,1
3917,7772,2
3917,7782,1
3917,3116,2
3922,3917,1
3922,3932,2
3928,1540,1
3929,7782,1
3929,7807,2
3929,654,2
3932,792,1
3932,13193,1
3932,7782,1
3932,4702,1
3933,4538,1
3933,3908,1
3933,7782,1
3938,1540,1
3938,6399,1
3938,3911,1
3940,7782,1
3940,7765,1
3940,7772,2
3940,7807,1
3940,4538,2
3940,3933,1
3946,1550,1
3947,792,1
3947,7807,1
3947,654,1
3947,3116,1
3947,3932,3
3947,7782,1
3947,7765,1
4033,10307,1
4036,1760,1
4039,1541,1
4040,1765,1
4537,3946,2
4537,6413,1
4537,845,2
4537,6419,1
4537,3909,1
4537,1759,1
4538,3116,3
4538,2147,1
4538,7765,1
4538,7807,1
4538,792,1
